prompt,completion
car	c
and	c
the	c
man	c
were	c
not	c
there	c
anymore	c
.	c
"
Where could they be ?,"Where	c
could	c
they	c
be	c
?	c
"
I was wondering .,"I	c
was	c
wondering	c
.	c
"
"Oh , sorry they were not in this road , they were in the next road .","Oh	c
,	c
sorry	c
they	c
were	c
not	c
in	i
this	c
road	c
,	i
they	i
were	c
in	i
the	c
next	c
road	c
.	c
"
Dear Madam : I just receive your letter with the good news .,"Dear	c
Madam	c
:	c
I	c
just	c
receive	i
your	c
letter	c
with	c
the	c
good	c
news	c
.	c
"
I am very happy for winning the first prize in your competition and I am glad to tell you that I am planning to go but I can only travel on July because I have to work until the end of June .,"I	c
am	c
very	c
happy	c
for	i
winning	c
the	c
first	c
prize	c
in	c
your	c
competition	c
and	c
I	c
am	c
glad	c
to	c
tell	c
you	c
that	c
I	c
am	c
planning	c
to	c
go	c
but	c
I	c
can	c
only	c
travel	c
on	i
July	c
because	c
I	c
have	c
to	c
work	c
until	c
the	c
end	c
of	c
June	c
.	c
"
For the accommodation I would like to have log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy .,"For	i
the	c
accommodation	c
I	c
would	c
like	c
to	c
have	c
log	i
cabins	i
rather	c
than	c
tents	i
because	c
two	c
weeks	c
is	c
quite	c
a	c
long	c
time	c
and	c
I	c
think	c
they	c
are	c
more	c
comfortable	c
and	c
give	c
you	c
more	c
privacy	c
.	c
"
I enjoy swimming and singing and I would like to join others in these activities .,"I	c
enjoy	c
swimming	c
and	c
singing	c
and	c
I	c
would	c
like	c
to	c
join	c
others	c
in	c
these	c
activities	c
.	c
"
I am an average swimmer and as a singer I am not a start but it would be fun to share my songs with the holiday makers .,"I	c
am	c
an	c
average	c
swimmer	c
and	c
as	c
a	c
singer	c
I	c
am	c
not	c
a	c
start	i
but	i
it	c
would	c
be	c
fun	c
to	c
share	c
my	c
songs	c
with	c
the	c
holiday	c
makers	c
.	c
"
Can you please give me some recomendations about the clothes I will need and also the cost of the food there to make my budget .,"Can	c
you	c
please	c
give	c
me	c
some	c
recomendations	i
about	c
the	c
clothes	c
I	c
will	c
need	c
and	c
also	c
the	c
cost	c
of	c
the	c
food	c
there	c
to	c
make	i
my	c
budget	c
.	c
"
Thank you for these wonderful two weeks at Camp California .,"Thank	c
you	c
for	c
these	c
wonderful	c
two	c
weeks	c
at	c
Camp	c
California	c
.	c
"
Yours faithfully Shopping is not always enjoyable In my opinion shopping sometimes is really boring specially when you buy at the supermarkets almost all the time the same things like cleaning products and the ingredients for every day food .,"Yours	c
faithfully	c
Shopping	c
is	c
not	c
always	c
enjoyable	c
In	c
my	c
opinion	c
shopping	c
sometimes	i
is	i
really	c
boring	c
specially	i
when	c
you	c
buy	c
at	i
the	i
supermarkets	i
almost	i
all	i
the	i
time	i
the	i
same	i
things	i
like	c
cleaning	c
products	c
and	c
the	c
ingredients	c
for	c
every	i
day	i
food	i
.	c
"
On the other hand everything looks different if I have to make a present for someone in my family .,"On	c
the	c
other	c
hand	c
everything	c
looks	c
different	c
if	c
I	c
have	c
to	c
make	i
a	c
present	c
for	c
someone	c
in	c
my	c
family	c
.	c
"
I start thinking what she or he prefer and I try my best buying something apropiate does n't matter how much money does it cost .,"I	c
start	c
thinking	c
what	i
she	c
or	c
he	c
prefer	i
and	c
I	c
try	c
my	c
best	c
buying	i
something	c
apropiate	i
does	i
n't	i
matter	c
how	c
much	c
money	c
does	c
it	c
cost	i
.	c
"
"In conclusion most of the time that you spend shopping you put a lot of effort choosing things and making decissions and they are more or less important , or more or less enjoyable depends on what , why , where and who is the person that you are interested to please .","In	c
conclusion	c
most	c
of	c
the	c
time	c
that	c
you	c
spend	c
shopping	c
you	c
put	c
a	c
lot	c
of	c
effort	c
choosing	i
things	c
and	c
making	c
decissions	i
and	c
they	c
are	c
more	c
or	c
less	c
important	c
,	c
or	c
more	c
or	c
less	c
enjoyable	c
depends	i
on	c
what	c
,	c
why	c
,	c
where	c
and	c
who	c
is	c
the	c
person	c
that	c
you	c
are	c
interested	c
to	i
please	i
.	c
"
DEAR MR ROBERTSON I AM WRITING YOU WITH REFERENCE IN THE LONDON TRIP WE ARE HAVING PRERY SOON .,"DEAR	c
MR	c
ROBERTSON	c
I	c
AM	c
WRITING	c
YOU	c
WITH	c
REFERENCE	c
IN	i
THE	c
LONDON	c
TRIP	c
WE	c
ARE	c
HAVING	i
PRERY	i
SOON	c
.	c
"
"I AM WRITING IN REPRECENTATION OF MY GROUP , AND ALL OF US WANT TO SAY THANK YOU FOR TAKE US ABROAD .","I	c
AM	c
WRITING	c
IN	i
REPRECENTATION	i
OF	c
MY	c
GROUP	c
,	c
AND	c
ALL	c
OF	c
US	c
WANT	c
TO	c
SAY	c
THANK	c
YOU	c
FOR	c
TAKE	i
US	c
ABROAD	c
.	c
"
"WE SAW THE ACTIVITIES PROGRAM ALREADY AND WE THINK IS EXCITING , ESPECIALLY THE VISIT TO THE SCIENCE MUSEUM .","WE	c
SAW	i
THE	c
ACTIVITIES	c
PROGRAM	i
ALREADY	c
AND	c
WE	c
THINK	c
IS	i
EXCITING	c
,	c
ESPECIALLY	c
THE	c
VISIT	c
TO	c
THE	c
SCIENCE	c
MUSEUM	c
.	c
"
AT THE SAME TIME WE WOULD LIKE TO ASK YOU SOMETHING .,"AT	c
THE	c
SAME	c
TIME	c
WE	c
WOULD	c
LIKE	c
TO	c
ASK	c
YOU	c
SOMETHING	c
.	c
"
"THERE IS GOING TO BE THE LONDON FASHION AND LEISURE SHOW ON THE 14TH OF MARCH , FROM 10.00 TO 19.00 .","THERE	i
IS	i
GOING	i
TO	i
BE	i
THE	i
LONDON	i
FASHION	i
AND	i
LEISURE	i
SHOW	i
ON	c
THE	c
14TH	c
OF	c
MARCH	c
,	c
FROM	c
10.00	c
TO	c
19.00	c
.	c
"
WE ARE REALY INTERESTING IN THIS SHOW .,"WE	c
ARE	c
REALY	i
INTERESTING	i
IN	c
THIS	c
SHOW	c
.	c
"
EVENTHOUGH YOUR PROGRAM IS PERFECT WE WILL PREFER TO GO THERE .,"EVENTHOUGH	i
YOUR	c
PROGRAM	i
IS	c
PERFECT	c
WE	c
WILL	i
PREFER	c
TO	c
GO	c
THERE	c
.	c
"
COULD YOU PLEASE BE SO KIND AND CHANGE SOME OF THE ACTIVITIES THAT WE WILL HAVE ?,"COULD	i
YOU	c
PLEASE	c
BE	c
SO	c
KIND	c
AND	i
CHANGE	i
SOME	c
OF	c
THE	c
ACTIVITIES	c
THAT	c
WE	i
WILL	i
HAVE	i
?	c
"
"WE THINK IS A GRATE OPORTUNITY , BECAUSE AS YOU KNOW , WE DON'T HAVE ACCES TO THAT KIND OF SHOWS IN THIS CITY .","WE	c
THINK	c
IS	i
A	c
GRATE	i
OPORTUNITY	i
,	c
BECAUSE	c
AS	c
YOU	c
KNOW	c
,	c
WE	c
DON'T	c
HAVE	c
ACCES	i
TO	c
THAT	c
KIND	c
OF	c
SHOWS	i
IN	c
THIS	c
CITY	c
.	c
"
"IN CASE YOU DECIDE TO CHANGE THE PROGRAM , WE SUGGEST ON TUSDAY GO TO THE SHOW AND ON WENSDAY INSTED FREE TIME , VISIT THE SCIENCE MUSEUM .","IN	c
CASE	c
YOU	c
DECIDE	c
TO	c
CHANGE	c
THE	c
PROGRAM	i
,	c
WE	c
SUGGEST	c
ON	i
TUSDAY	i
GO	i
TO	i
THE	i
SHOW	i
AND	c
ON	c
WENSDAY	i
INSTED	i
FREE	i
TIME	c
,	c
VISIT	i
THE	c
SCIENCE	c
MUSEUM	c
.	c
"
THOUGH WE DONT HAVE SHOPPING AND FREE TIME .,"THOUGH	c
WE	c
DONT	c
HAVE	c
SHOPPING	c
AND	c
FREE	c
TIME	c
.	c
"
WE ARE LOOKING FORWARD FOR YOUR ANSWER .,"WE	c
ARE	c
LOOKING	c
FORWARD	c
FOR	i
YOUR	c
ANSWER	c
.	c
"
"YOUR SINCERLY ; \"" THE RIGHT PERSON \"" MAY 29 , 1997 .","YOUR	i
SINCERLY	i
;	c
""\""""""	c
THE	c
RIGHT	c
PERSON	c
""\""""""	c
MAY	c
29	c
,	c
1997	c
.	c
"
IT WAS MY FIRST TIME IN LONDON .,"IT	c
WAS	c
MY	c
FIRST	c
TIME	c
IN	c
LONDON	c
.	c
"
THAT NIGHT I WENT TO A PUB IN BAYSWATER .,"THAT	c
NIGHT	c
I	c
WENT	c
TO	c
A	c
PUB	c
IN	c
BAYSWATER	c
.	c
"
WHEN THEY CLOSED I TOOK THE 7 BUS .,"WHEN	c
THEY	c
CLOSED	c
I	c
TOOK	c
THE	c
7	i
BUS	c
.	c
"
I WAS LIVING QUITE CLOUSE TO PORTOBELLO ROAD BUT I DIDN'T KNOW VERY WELL THE AREA BECAUSE ALL TIME I JUST HAD TO GET OFF IN THE COURNER OF MY HOUSE .,"I	c
WAS	c
LIVING	c
QUITE	c
CLOUSE	i
TO	c
PORTOBELLO	c
ROAD	c
BUT	c
I	c
DIDN'T	c
KNOW	c
VERY	i
WELL	i
THE	i
AREA	i
BECAUSE	c
ALL	c
TIME	i
I	c
JUST	c
HAD	c
TO	c
GET	c
OFF	c
IN	i
THE	c
COURNER	i
OF	c
MY	c
HOUSE	i
.	c
"
"BUT THAT DAY , LIKE I WAS KIND OF DRUNK , I DIDN'T REALISE THAT THE BUS TOOK A DIFFERENT WAY ; SO WHEN I NOTICED IT THE DRIVER WAS ALREADY ASKING ME TO GET OFF , BECAUSE WE WHERE IN THE GARAGE IN PORTOBELLO .","BUT	c
THAT	c
DAY	c
,	c
LIKE	i
I	c
WAS	c
KIND	c
OF	c
DRUNK	c
,	c
I	c
DIDN'T	c
REALISE	c
THAT	c
THE	c
BUS	c
TOOK	c
A	c
DIFFERENT	c
WAY	i
;	c
SO	c
WHEN	c
I	c
NOTICED	c
IT	c
THE	c
DRIVER	c
WAS	c
ALREADY	c
ASKING	c
ME	c
TO	c
GET	c
OFF	c
,	c
BECAUSE	c
WE	c
WHERE	i
IN	c
THE	c
GARAGE	c
IN	c
PORTOBELLO	c
.	c
"
"I TOLD HIM , I DIDN'T KNOW WHERE I WAS BUT HE JUST SEID SORRY .","I	c
TOLD	c
HIM	c
,	c
I	c
DIDN'T	c
KNOW	c
WHERE	c
I	c
WAS	c
BUT	c
HE	c
JUST	c
SEID	i
SORRY	c
.	c
"
I WAS REALY SCARE .,"I	c
WAS	c
REALY	i
SCARE	i
.	c
"
THERE WERE SOME PEOPLE AROUN BUT I WAS AFRAID TO ASK THEM THE WAY I SHOULD TAKE .,"THERE	c
WERE	c
SOME	c
PEOPLE	c
AROUN	i
BUT	c
I	c
WAS	c
AFRAID	c
TO	c
ASK	c
THEM	c
THE	c
WAY	c
I	c
SHOULD	c
TAKE	c
.	c
"
"AT LEAST I ASKED A BOY AND HE SAID \"" I'LL TELL YOU WHERE IS THE PLACE YOU ARE LOOKING FOR , JUST FOLLOW ME \"" .","AT	i
LEAST	i
I	c
ASKED	c
A	c
BOY	c
AND	c
HE	c
SAID	c
""\""""""	c
I'LL	c
TELL	c
YOU	c
WHERE	c
IS	i
THE	i
PLACE	i
YOU	i
ARE	i
LOOKING	i
FOR	i
,	c
JUST	c
FOLLOW	c
ME	c
""\""""""	c
.	c
"
"IT WAS DANGEROUS , BUT I KNEW I HAD TO DO IT .","IT	c
WAS	c
DANGEROUS	c
,	c
BUT	c
I	c
KNEW	c
I	c
HAD	c
TO	c
DO	c
IT	c
.	c
"
"10 MINUTES AFTER I WAS FOLLOWING HIM , I START KNOWING THE PLACE , AND I WAS FELLING MORE CONFORTABLE .","10	i
MINUTES	i
AFTER	i
I	i
WAS	i
FOLLOWING	i
HIM	i
,	c
I	c
START	i
KNOWING	i
THE	c
PLACE	c
,	c
AND	c
I	c
WAS	c
FELLING	i
MORE	c
CONFORTABLE	i
.	c
"
HE TOOK ME RIGHT IN FRONT OF MY HOUSE .,"HE	c
TOOK	c
ME	c
RIGHT	c
IN	i
FRONT	i
OF	c
MY	c
HOUSE	c
.	c
"
"I THANK HIM SO MUCH , AND I WAS SO HAPPY THAT I ASKED TO THE RIGHT PERSON AND NOTHING WRON HAPPEN TO ME .","I	c
THANK	i
HIM	c
SO	i
MUCH	c
,	c
AND	c
I	c
WAS	c
SO	c
HAPPY	c
THAT	c
I	c
ASKED	c
TO	c
THE	c
RIGHT	c
PERSON	c
AND	c
NOTHING	c
WRON	i
HAPPEN	i
TO	c
ME	c
.	c
"
"Dear Sir or Madam , I am writing in order to explain to you the problems regarding the musical show I saw at your theatre .","Dear	c
Sir	c
or	c
Madam	c
,	c
I	c
am	c
writing	c
in	c
order	c
to	c
explain	c
to	c
you	c
the	c
problems	c
regarding	c
the	c
musical	c
show	c
I	c
saw	c
at	c
your	c
theatre	c
.	c
"
"First of all , there was written in the advertisement for the show , that there would be Danny Brook as main actor , but a different actor played in the show .","First	c
of	c
all	c
,	c
there	i
was	c
written	c
in	c
the	c
advertisement	c
for	c
the	c
show	c
,	c
that	c
there	c
would	i
be	i
Danny	i
Brook	i
as	i
main	i
actor	i
,	c
but	c
a	c
different	c
actor	c
played	c
in	c
the	c
show	c
.	c
"
The show started forty - five minutes later and this really disappointed me .,"The	c
show	c
started	c
forty	c
-	c
five	c
minutes	c
later	i
and	c
this	c
really	c
disappointed	c
me	c
.	c
"
"Besides , when I bought the ticket , I found out there was not discounts for ticket , while you wrote the contrary .","Besides	c
,	c
when	c
I	c
bought	c
the	c
ticket	c
,	c
I	c
found	c
out	c
there	c
was	i
not	c
discounts	i
for	c
ticket	i
,	c
while	c
you	c
wrote	c
the	c
contrary	c
.	c
"
"Moreover , I could not go to the theatre restaurant because , by the time the show had finished , it had already closed .","Moreover	c
,	c
I	c
could	c
not	c
go	c
to	c
the	c
theatre	c
restaurant	c
because	c
,	c
by	c
the	c
time	c
the	c
show	c
had	c
finished	c
,	c
it	c
had	c
already	c
closed	c
.	c
"
"Definetely , it was a very disappointing evening and I would appreciate your if it was possible to have my money back .","Definetely	i
,	c
it	c
was	c
a	c
very	c
disappointing	c
evening	c
and	c
I	c
would	c
appreciate	c
your	i
if	c
it	c
was	i
possible	c
to	c
have	c
my	c
money	c
back	c
.	c
"
I am looking forward to hearing from you in the near future .,"I	c
am	c
looking	c
forward	c
to	c
hearing	c
from	c
you	c
in	c
the	c
near	c
future	c
.	c
"
"Yours faithfully , Unfortunately , Pat was n't very good at keeping secrets .","Yours	c
faithfully	c
,	c
Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
.	c
"
"She was a very pretty and kind girl , but she had this bad habit .","She	c
was	c
a	c
very	c
pretty	c
and	c
kind	c
girl	c
,	c
but	c
she	c
had	c
this	c
bad	c
habit	c
.	c
"
This was her only fault .,"This	c
was	c
her	c
only	c
fault	c
.	c
"
She had a lot of friends but nobody trusted her .,"She	c
had	c
a	c
lot	c
of	c
friends	c
but	c
nobody	c
trusted	c
her	c
.	c
"
That was why she decide to change her behaviour .,"That	c
was	c
why	c
she	c
decide	i
to	c
change	c
her	c
behaviour	c
.	c
"
"She was given a chance : if she had been able not to tell everybody a secret for a short time , her friends would have started trusting her .","She	c
was	c
given	c
a	c
chance	c
:	c
if	c
she	c
had	i
been	i
able	c
not	c
to	c
tell	c
everybody	c
a	c
secret	c
for	c
a	c
short	c
time	c
,	c
her	c
friends	c
would	c
have	i
started	i
trusting	c
her	c
.	c
"
The secret was about a surprise - party for her bestfriend 's birthday .,"The	c
secret	c
was	c
about	c
a	c
surprise	c
-	c
party	c
for	c
her	c
bestfriend	i
's	c
birthday	c
.	c
"
"As soon as the arrangement for the party started , she began to feel nervous and anxious because she wanted to tell everything to her bestfriend .","As	c
soon	c
as	c
the	c
arrangement	i
for	c
the	c
party	c
started	c
,	c
she	c
began	c
to	c
feel	c
nervous	c
and	c
anxious	c
because	c
she	c
wanted	c
to	c
tell	c
everything	c
to	c
her	c
bestfriend	i
.	c
"
"But , as the days went by , she was surprised because she realized she was getting used not to tell secrets any more .","But	c
,	c
as	c
the	c
days	c
went	c
by	c
,	c
she	c
was	c
surprised	c
because	c
she	c
realized	c
she	c
was	c
getting	c
used	c
not	i
to	i
tell	i
secrets	c
any	i
more	i
.	c
"
The day of the party arrived and Pat succeeded in keeping the secret .,"The	c
day	c
of	c
the	c
party	c
arrived	c
and	c
Pat	c
succeeded	c
in	c
keeping	c
the	c
secret	c
.	c
"
All her friends were amazed at her change and started trusting her at once .,"All	c
her	c
friends	c
were	c
amazed	c
at	c
her	c
change	i
and	c
started	c
trusting	c
her	c
at	c
once	c
.	c
"
17th June 2000 Dear Sir !,"17th	c
June	c
2000	c
Dear	c
Sir	c
!	c
"
"I am writing this letter to you , because the show \"" Over The Rainbow \"" which is the London 's newest and best musical show , was not ... for me .","I	c
am	c
writing	c
this	c
letter	c
to	c
you	c
,	c
because	c
the	c
show	c
""\""""""	c
Over	c
The	c
Rainbow	c
""\""""""	c
which	c
is	c
the	c
London	c
's	c
newest	c
and	c
best	c
musical	c
show	c
,	c
was	c
not	c
...	c
for	c
me	c
.	c
"
"Pleas apologise me , but there were many mistakes and problems on the note you have made , which disappointed me very .","Pleas	i
apologise	i
me	c
,	c
but	c
there	c
were	c
many	c
mistakes	c
and	c
problems	c
on	c
the	c
note	c
you	c
have	c
made	c
,	c
which	c
disappointed	c
me	c
very	c
.	i
"
I thought that Dany Brook who is my favorite actor play in that show .,"I	c
thought	c
that	c
Dany	c
Brook	c
who	c
is	c
my	c
favorite	i
actor	c
play	i
in	c
that	c
show	c
.	c
"
And I was really disappointed when I saw Jeremy Brook on the stage .,"And	c
I	c
was	c
really	c
disappointed	c
when	c
I	c
saw	c
Jeremy	c
Brook	c
on	c
the	c
stage	c
.	c
"
"Please , if you would be so kind and mind correct this mistake .","Please	c
,	c
if	c
you	c
would	c
be	c
so	c
kind	c
and	c
mind	c
correct	c
this	c
mistake	c
.	c
"
I would be gratefull if you could correct too that show start at 20.15 not on 19.30 .,"I	c
would	c
be	c
gratefull	i
if	c
you	c
could	c
correct	c
too	c
that	c
show	c
start	i
at	c
20.15	c
not	c
on	c
19.30	c
.	c
"
"Other thing was that there was no discounts available , and that the restaurant which I wanted to visit after the show was closed because of the main cooker sikness .","Other	i
thing	c
was	c
that	c
there	c
was	i
no	c
discounts	c
available	c
,	c
and	c
that	c
the	c
restaurant	c
which	c
I	c
wanted	c
to	c
visit	c
after	c
the	c
show	c
was	c
closed	c
because	c
of	c
the	c
main	c
cooker	i
sikness	i
.	c
"
I would be very grateful if I could get my money back .,"I	c
would	c
be	c
very	c
grateful	c
if	c
I	c
could	c
get	c
my	c
money	c
back	c
.	c
"
"That evening which should be my perfect evening out , was in fact very tireing and boring .","That	c
evening	c
which	c
should	c
be	i
my	c
perfect	c
evening	c
out	c
,	c
was	c
in	c
fact	c
very	c
tireing	i
and	c
boring	c
.	c
"
Apologise me for disturb .,"Apologise	c
me	c
for	c
disturb	c
.	c
"
I am looking forward for answer !,"I	c
am	c
looking	c
forward	c
for	i
answer	i
!	c
"
Best regardes !,"Best	c
regardes	i
!	c
"
"Unfortunately , Pat was n't very good at keeping secrets , I knew that he 's very talkative person , but it was nessesery because I wanted him to be the main director of that birthday party for tenes .","Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
,	c
I	c
knew	c
that	c
he	c
's	c
very	i
talkative	c
person	c
,	c
but	c
it	c
was	c
nessesery	i
because	c
I	c
wanted	c
him	c
to	c
be	c
the	c
main	c
director	i
of	c
that	c
birthday	c
party	c
for	c
tenes	c
.	c
"
It started a week before that day .,"It	c
started	c
a	c
week	c
before	c
that	c
day	c
.	c
"
"Pat found the great place for the party called \"" Blue Box \"" .","Pat	c
found	c
the	i
great	c
place	c
for	c
the	c
party	c
called	c
""\""""""	c
Blue	c
Box	c
""\""""""	c
.	c
"
"I made a beautifull invite cards for every Agatha friends with a sign \"" Do not tell Agatha about that , this is a suprise party for her , please keep the secret !","I	c
made	c
a	c
beautifull	i
invite	i
cards	c
for	c
every	i
Agatha	c
friends	i
with	c
a	c
sign	i
""\""""""	c
Do	c
not	c
tell	c
Agatha	c
about	c
that	i
,	i
this	i
is	c
a	c
suprise	i
party	c
for	c
her	c
,	i
please	i
keep	c
the	c
secret	c
!	c
"
"\"" Pat arranged great DJ and drinks .","""\""""""	c
Pat	c
arranged	c
great	i
DJ	c
and	c
drinks	c
.	c
"
My friend and I made a perfect decoration with ballons and other party stuff .,"My	c
friend	c
and	c
I	c
made	c
a	i
perfect	c
decoration	i
with	c
ballons	i
and	c
other	c
party	c
stuff	c
.	c
"
Everyone told us it was breath taking .,"Everyone	c
told	c
us	c
it	c
was	c
breath	i
taking	i
.	c
"
Everything was set ... the day and hour came .,"Everything	c
was	c
set	c
...	c
the	c
day	c
and	c
hour	c
came	c
.	c
"
Everyone gathered in disco at 21.00 .,"Everyone	c
gathered	c
in	c
disco	i
at	c
21.00	c
.	c
"
We were only waiting for Agatha who should come at 22 o'clock with her boyfriend .,"We	c
were	c
only	c
waiting	c
for	c
Agatha	c
who	c
should	i
come	i
at	c
22	c
o'clock	c
with	c
her	c
boyfriend	c
.	c
"
It was so exaiting !,"It	c
was	c
so	c
exaiting	i
!	c
"
"! ! We put off the lights and then the door opened and I just heard \"" What the hell is going on ?","!	c
!	c
We	c
put	i
off	c
the	c
lights	c
and	c
then	c
the	c
door	c
opened	c
and	c
I	c
just	c
heard	c
""\""""""	c
What	c
the	c
hell	c
is	c
going	c
on	c
?	c
"
"! ! \"" She entered the room , and everyone shouted HAPPY BIRTHDAY DEAR !","!	c
!	c
""\""""""	c
She	c
entered	c
the	c
room	c
,	c
and	c
everyone	c
shouted	c
HAPPY	c
BIRTHDAY	c
DEAR	c
!	c
"
She was so touched that we started to cry .,"She	c
was	c
so	c
touched	c
that	c
we	c
started	c
to	c
cry	c
.	c
"
"Enyway the disco was great , music also .","Enyway	i
the	c
disco	c
was	c
great	c
,	c
music	c
also	c
.	c
"
We had fun to 5 o'clock !,"We	c
had	c
fun	c
to	i
5	c
o'clock	c
!	c
"
Agatha said that it was the greatest present she could ever get !,"Agatha	c
said	c
that	c
it	c
was	c
the	c
greatest	c
present	c
she	c
could	c
ever	c
get	i
!	c
"
"Dear Mr / Mrs , I 've seen your festival and I would like to give you my suggestions to it .","Dear	c
Mr	i
/	i
Mrs	i
,	c
I	c
've	i
seen	i
your	c
festival	c
and	c
I	c
would	c
like	c
to	c
give	c
you	c
my	c
suggestions	c
to	i
it	c
.	c
"
I must say that International Arts Festival is really great idea .,"I	c
must	c
say	c
that	c
International	i
Arts	c
Festival	c
is	c
really	c
great	i
idea	c
.	c
"
And your last festival was very intresting too .,"And	c
your	c
last	c
festival	c
was	c
very	c
intresting	i
too	c
.	c
"
But also there are some notes that you should improve in the next year 's festival to make it absolutelly wonderful .,"But	c
also	c
there	c
are	c
some	c
notes	c
that	c
you	c
should	c
improve	c
in	c
the	c
next	c
year	c
's	c
festival	c
to	c
make	c
it	c
absolutelly	i
wonderful	c
.	c
"
"First of all , you must invite artists and stars from more countries around the world , because there are people only from six countries .","First	c
of	c
all	c
,	c
you	c
must	c
invite	c
artists	c
and	c
stars	c
from	c
more	c
countries	c
around	c
the	c
world	c
,	c
because	c
there	c
are	i
people	c
only	c
from	c
six	c
countries	c
.	c
"
I think it can make your festival more popular .,"I	c
think	c
it	c
can	c
make	c
your	c
festival	c
more	c
popular	c
.	c
"
"Jazz , rock and classical concerts are amazing , but I think that some concert halls are too small , so not everybody can come .","Jazz	c
,	c
rock	c
and	c
classical	c
concerts	c
are	c
amazing	c
,	c
but	c
I	c
think	c
that	c
some	c
concert	c
halls	c
are	c
too	c
small	c
,	c
so	c
not	c
everybody	c
can	c
come	c
.	c
"
"Your dance shows are very beautiful , art exhibitions is something original and exciting .","Your	c
dance	c
shows	c
are	c
very	c
beautiful	c
,	c
art	i
exhibitions	i
is	c
something	c
original	c
and	c
exciting	c
.	c
"
And also it is very interesting to talk with writers .,"And	c
also	c
it	c
is	c
very	c
interesting	c
to	c
talk	c
with	c
writers	c
.	c
"
"I think that one reasonably - priced weekend for all events is exellent idea because it is n't so Expensive as buying ticket to each event , and with this ticket you can visit everything you want .","I	c
think	c
that	c
one	c
reasonably	c
-	c
priced	c
weekend	c
for	i
all	c
events	c
is	c
exellent	i
idea	c
because	c
it	c
is	c
n't	c
so	c
Expensive	i
as	c
buying	c
ticket	i
to	i
each	c
event	c
,	c
and	c
with	c
this	c
ticket	c
you	c
can	c
visit	c
everything	c
you	c
want	c
.	c
"
I hope you will continue to making your festivals .,"I	c
hope	c
you	c
will	c
continue	c
to	c
making	i
your	c
festivals	c
.	c
"
"Your faithfully , Dear Tom , How are you ?","Your	i
faithfully	c
,	c
Dear	c
Tom	c
,	c
How	c
are	c
you	c
?	c
"
Thank you for your last letter .,"Thank	c
you	c
for	c
your	c
last	c
letter	c
.	c
"
It was very interesting .,"It	c
was	c
very	c
interesting	c
.	c
"
The question you asked me in it is very original too .,"The	c
question	c
you	c
asked	c
me	c
in	c
it	c
is	c
very	c
original	c
too	c
.	c
"
I must say that rules are n't same in schools of our country .,"I	c
must	c
say	c
that	c
rules	i
are	c
n't	c
same	i
in	c
schools	i
of	c
our	c
country	c
.	c
"
Every school has it 's own rules .,"Every	c
school	c
has	c
it	i
's	i
own	c
rules	c
.	c
"
I think that my school is very democratic and so there are very good relations between teachers and students .,"I	c
think	c
that	c
my	c
school	c
is	c
very	c
democratic	c
and	c
so	c
there	c
are	c
very	c
good	c
relations	c
between	c
teachers	c
and	c
students	c
.	c
"
We are all very friendly in our class and we help to each other when we have a problem .,"We	c
are	c
all	c
very	c
friendly	c
in	c
our	c
class	c
and	c
we	c
help	c
to	c
each	c
other	c
when	c
we	c
have	c
a	c
problem	c
.	c
"
So the main rule in our school is regarding theachers .,"So	c
the	c
main	c
rule	c
in	c
our	c
school	c
is	c
regarding	c
theachers	i
.	c
"
I 'm allowed to do many things at home .,"I	c
'm	c
allowed	c
to	c
do	c
many	c
things	c
at	c
home	c
.	c
"
"My parents are very kind , and they know that their son will do everything right .","My	c
parents	c
are	c
very	c
kind	c
,	c
and	c
they	c
know	c
that	c
their	c
son	c
will	c
do	c
everything	c
right	c
.	c
"
"And the main reason Why our family is so friendly , it 's because we haven't go many rules .","And	c
the	c
main	c
reason	c
Why	i
our	c
family	c
is	c
so	c
friendly	c
,	c
it	i
's	i
because	c
we	c
haven't	c
go	i
many	c
rules	c
.	c
"
"So , I think there is n't something I 'd like to change .","So	c
,	c
I	c
think	c
there	c
is	c
n't	c
something	i
I	c
'd	c
like	c
to	c
change	c
.	c
"
I hope everything is good in your family and your school .,"I	c
hope	c
everything	c
is	c
good	c
in	c
your	c
family	c
and	c
your	c
school	c
.	c
"
"Take care , 13th June 2000 Dear Mrs Ryan Regarding your letter dated on the 6th of June I 'm so happy to receive the first price .","Take	c
care	c
,	c
13th	c
June	c
2000	c
Dear	c
Mrs	c
Ryan	c
Regarding	c
your	c
letter	c
dated	c
on	c
the	c
6th	c
of	c
June	c
I	c
'm	c
so	c
happy	c
to	c
receive	c
the	c
first	c
price	i
.	c
"
Thanks very much .,"Thanks	c
very	c
much	c
.	c
"
I would like to travel in July to California .,"I	c
would	c
like	c
to	c
travel	c
in	c
July	c
to	c
California	c
.	c
"
The reason is that we have long holidays at school on this time .,"The	c
reason	c
is	c
that	c
we	c
have	c
long	c
holidays	c
at	c
school	c
on	i
this	i
time	c
.	c
"
"Although , the accommodation is n't so important for me .","Although	c
,	c
the	c
accommodation	c
is	c
n't	c
so	c
important	c
for	c
me	c
.	c
"
I would prefer the log cabin because of the comfort and the better bed .,"I	c
would	c
prefer	c
the	c
log	c
cabin	c
